id,prompt,function
0,How many doors are there in the Main Lobby?,len([door for door in ifc_obj.by_type('IfcDoor') if 'Main Lobby' in door.Name])
1,Count the number of doors in the Main Lobby.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Main Lobby' in door.Name])
2,What is the total number of doors in the Main Lobby?,len([door for door in ifc_obj.by_type('IfcDoor') if 'Main Lobby' in door.Name])
3,Find out how many doors are in the Main Lobby.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Main Lobby' in door.Name])
4,Get the total count of doors in the Main Lobby.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Main Lobby' in door.Name])
5,How many doors are present in the Main Lobby?,len([door for door in ifc_obj.by_type('IfcDoor') if 'Main Lobby' in door.Name])
6,List the number of doors in the Main Lobby.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Main Lobby' in door.Name])
7,Determine the number of doors in the Main Lobby.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Main Lobby' in door.Name])
8,What is the count of doors in the Main Lobby?,len([door for door in ifc_obj.by_type('IfcDoor') if 'Main Lobby' in door.Name])
9,How many doors does the Main Lobby have?,len([door for door in ifc_obj.by_type('IfcDoor') if 'Main Lobby' in door.Name])
10,Count the doors in the Main Lobby.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Main Lobby' in door.Name])
11,How many doors can be found in the Main Lobby?,len([door for door in ifc_obj.by_type('IfcDoor') if 'Main Lobby' in door.Name])
12,Find the number of doors in the Main Lobby.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Main Lobby' in door.Name])
13,Get the number of doors in the Main Lobby.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Main Lobby' in door.Name])
14,Calculate the number of doors in the Main Lobby.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Main Lobby' in door.Name])
15,How many doors are there in the Conference Room?,len([door for door in ifc_obj.by_type('IfcDoor') if 'Conference Room' in door.Name])
16,Count the number of doors in the Conference Room.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Conference Room' in door.Name])
17,What is the total number of doors in the Conference Room?,len([door for door in ifc_obj.by_type('IfcDoor') if 'Conference Room' in door.Name])
18,Find out how many doors are in the Conference Room.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Conference Room' in door.Name])
19,Get the total count of doors in the Conference Room.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Conference Room' in door.Name])
20,How many doors are present in the Conference Room?,len([door for door in ifc_obj.by_type('IfcDoor') if 'Conference Room' in door.Name])
21,List the number of doors in the Conference Room.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Conference Room' in door.Name])
22,Determine the number of doors in the Conference Room.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Conference Room' in door.Name])
23,What is the count of doors in the Conference Room?,len([door for door in ifc_obj.by_type('IfcDoor') if 'Conference Room' in door.Name])
24,How many doors does the Conference Room have?,len([door for door in ifc_obj.by_type('IfcDoor') if 'Conference Room' in door.Name])
25,Count the doors in the Conference Room.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Conference Room' in door.Name])
26,How many doors can be found in the Conference Room?,len([door for door in ifc_obj.by_type('IfcDoor') if 'Conference Room' in door.Name])
27,Find the number of doors in the Conference Room.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Conference Room' in door.Name])
28,Get the number of doors in the Conference Room.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Conference Room' in door.Name])
29,Calculate the number of doors in the Conference Room.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Conference Room' in door.Name])
30,How many doors are there in the Reception Area?,len([door for door in ifc_obj.by_type('IfcDoor') if 'Reception Area' in door.Name])
31,Count the number of doors in the Reception Area.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Reception Area' in door.Name])
32,What is the total number of doors in the Reception Area?,len([door for door in ifc_obj.by_type('IfcDoor') if 'Reception Area' in door.Name])
33,Find out how many doors are in the Reception Area.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Reception Area' in door.Name])
34,Get the total count of doors in the Reception Area.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Reception Area' in door.Name])
35,How many doors are present in the Reception Area?,len([door for door in ifc_obj.by_type('IfcDoor') if 'Reception Area' in door.Name])
36,List the number of doors in the Reception Area.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Reception Area' in door.Name])
37,Determine the number of doors in the Reception Area.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Reception Area' in door.Name])
38,What is the count of doors in the Reception Area?,len([door for door in ifc_obj.by_type('IfcDoor') if 'Reception Area' in door.Name])
39,How many doors does the Reception Area have?,len([door for door in ifc_obj.by_type('IfcDoor') if 'Reception Area' in door.Name])
40,Count the doors in the Reception Area.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Reception Area' in door.Name])
41,How many doors can be found in the Reception Area?,len([door for door in ifc_obj.by_type('IfcDoor') if 'Reception Area' in door.Name])
42,Find the number of doors in the Reception Area.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Reception Area' in door.Name])
43,Get the number of doors in the Reception Area.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Reception Area' in door.Name])
44,Calculate the number of doors in the Reception Area.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Reception Area' in door.Name])
45,How many doors are there in the Kitchen?,len([door for door in ifc_obj.by_type('IfcDoor') if 'Kitchen' in door.Name])
46,Count the number of doors in the Kitchen.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Kitchen' in door.Name])
47,What is the total number of doors in the Kitchen?,len([door for door in ifc_obj.by_type('IfcDoor') if 'Kitchen' in door.Name])
48,Find out how many doors are in the Kitchen.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Kitchen' in door.Name])
49,Get the total count of doors in the Kitchen.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Kitchen' in door.Name])
50,How many doors are present in the Kitchen?,len([door for door in ifc_obj.by_type('IfcDoor') if 'Kitchen' in door.Name])
51,List the number of doors in the Kitchen.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Kitchen' in door.Name])
52,Determine the number of doors in the Kitchen.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Kitchen' in door.Name])
53,What is the count of doors in the Kitchen?,len([door for door in ifc_obj.by_type('IfcDoor') if 'Kitchen' in door.Name])
54,How many doors does the Kitchen have?,len([door for door in ifc_obj.by_type('IfcDoor') if 'Kitchen' in door.Name])
55,Count the doors in the Kitchen.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Kitchen' in door.Name])
56,How many doors can be found in the Kitchen?,len([door for door in ifc_obj.by_type('IfcDoor') if 'Kitchen' in door.Name])
57,Find the number of doors in the Kitchen.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Kitchen' in door.Name])
58,Get the number of doors in the Kitchen.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Kitchen' in door.Name])
59,Calculate the number of doors in the Kitchen.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Kitchen' in door.Name])
60,How many doors are there in the Bathroom?,len([door for door in ifc_obj.by_type('IfcDoor') if 'Bathroom' in door.Name])
61,Count the number of doors in the Bathroom.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Bathroom' in door.Name])
62,What is the total number of doors in the Bathroom?,len([door for door in ifc_obj.by_type('IfcDoor') if 'Bathroom' in door.Name])
63,Find out how many doors are in the Bathroom.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Bathroom' in door.Name])
64,Get the total count of doors in the Bathroom.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Bathroom' in door.Name])
65,How many doors are present in the Bathroom?,len([door for door in ifc_obj.by_type('IfcDoor') if 'Bathroom' in door.Name])
66,List the number of doors in the Bathroom.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Bathroom' in door.Name])
67,Determine the number of doors in the Bathroom.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Bathroom' in door.Name])
68,What is the count of doors in the Bathroom?,len([door for door in ifc_obj.by_type('IfcDoor') if 'Bathroom' in door.Name])
69,How many doors does the Bathroom have?,len([door for door in ifc_obj.by_type('IfcDoor') if 'Bathroom' in door.Name])
70,Count the doors in the Bathroom.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Bathroom' in door.Name])
71,How many doors can be found in the Bathroom?,len([door for door in ifc_obj.by_type('IfcDoor') if 'Bathroom' in door.Name])
72,Find the number of doors in the Bathroom.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Bathroom' in door.Name])
73,Get the number of doors in the Bathroom.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Bathroom' in door.Name])
74,Calculate the number of doors in the Bathroom.,len([door for door in ifc_obj.by_type('IfcDoor') if 'Bathroom' in door.Name])
75,How many walls have a fire rating of 1 hours?,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 1])"
76,Count the number of walls with a fire rating of 1 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 1])"
77,What is the total number of walls with a fire rating of 1 hours?,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 1])"
78,Find out how many walls have a fire rating of 1 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 1])"
79,Get the total count of walls with a fire rating of 1 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 1])"
80,How many walls are there with a fire rating of 1 hours?,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 1])"
81,List the number of walls with a fire rating of 1 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 1])"
82,Determine the number of walls with a fire rating of 1 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 1])"
83,What is the count of walls with a fire rating of 1 hours?,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 1])"
84,How many walls in the building have a fire rating of 1 hours?,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 1])"
85,Calculate the number of walls with a fire rating of 1 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 1])"
86,How many walls have the property of being fire-rated for 1 hours?,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 1])"
87,Find the number of walls with a fire rating of 1 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 1])"
88,Get the number of walls with a fire rating of 1 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 1])"
89,Count all walls with a fire rating of 1 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 1])"
90,How many walls have a fire rating of 2 hours?,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 2])"
91,Count the number of walls with a fire rating of 2 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 2])"
92,What is the total number of walls with a fire rating of 2 hours?,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 2])"
93,Find out how many walls have a fire rating of 2 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 2])"
94,Get the total count of walls with a fire rating of 2 hours.,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 2])"
95,How many walls are there with a fire rating of 2 hours?,"len([wall for wall in ifc_obj.by_type('IfcWall') if hasattr(wall, 'FireRating') and wall.FireRating == 2])"
